,time_period,rainfall,mean_temperature,disease_cases,population,location,Cases,E,month,ID_year,ID_spat,rainsum,meantemperature
0,2001-01,251.111,24.32,110.0,629267.026130676,Acre,110.0,629267.026130676,1,2001,Acre,251.111,24.32
1,2001-02,230.194,24.6,89.0,629267.026130676,Acre,89.0,629267.026130676,2,2001,Acre,230.194,24.6
2,2001-03,247.572,24.59,115.0,629267.026130676,Acre,115.0,629267.026130676,3,2001,Acre,247.572,24.59
3,2001-04,194.169,24.62,78.0,629267.026130676,Acre,78.0,629267.026130676,4,2001,Acre,194.169,24.62
4,2001-05,97.685,24.15,36.0,629267.026130676,Acre,36.0,629267.026130676,5,2001,Acre,97.685,24.15
5,2001-06,60.546,22.42,32.0,629267.026130676,Acre,32.0,629267.026130676,6,2001,Acre,60.546,22.42
6,2001-07,86.882,23.53,7.0,629267.026130676,Acre,7.0,629267.026130676,7,2001,Acre,86.882,23.53
7,2001-08,37.802,25.65,8.0,629267.026130676,Acre,8.0,629267.026130676,8,2001,Acre,37.802,25.65
8,2001-09,125.288,25.15,8.0,629267.026130676,Acre,8.0,629267.026130676,9,2001,Acre,125.288,25.15
9,2001-10,177.126,25.83,22.0,629267.026130676,Acre,22.0,629267.026130676,10,2001,Acre,177.126,25.83
10,2001-11,206.037,25.36,172.0,629267.026130676,Acre,172.0,629267.026130676,11,2001,Acre,206.037,25.36
11,2001-12,308.816,24.93,196.0,629267.026130676,Acre,196.0,629267.026130676,12,2001,Acre,308.816,24.93
12,2002-01,226.946,25.39,81.0,636229.145576477,Acre,81.0,636229.145576477,1,2002,Acre,226.946,25.39
13,2002-02,262.303,25.02,170.0,636229.145576477,Acre,170.0,636229.145576477,2,2002,Acre,262.303,25.02
14,2002-03,238.798,25.14,316.0,636229.145576477,Acre,316.0,636229.145576477,3,2002,Acre,238.798,25.14
15,2002-04,216.697,24.65,72.0,636229.145576477,Acre,72.0,636229.145576477,4,2002,Acre,216.697,24.65
16,2002-05,125.554,24.6,36.0,636229.145576477,Acre,36.0,636229.145576477,5,2002,Acre,125.554,24.6
17,2002-06,62.513,23.54,24.0,636229.145576477,Acre,24.0,636229.145576477,6,2002,Acre,62.513,23.54
18,2002-07,87.491,23.73,19.0,636229.145576477,Acre,19.0,636229.145576477,7,2002,Acre,87.491,23.73
19,2002-08,82.58,25.43,12.0,636229.145576477,Acre,12.0,636229.145576477,8,2002,Acre,82.58,25.43
20,2002-09,108.764,25.54,14.0,636229.145576477,Acre,14.0,636229.145576477,9,2002,Acre,108.764,25.54
21,2002-10,153.82,25.98,18.0,636229.145576477,Acre,18.0,636229.145576477,10,2002,Acre,153.82,25.98
22,2002-11,191.571,25.24,91.0,636229.145576477,Acre,91.0,636229.145576477,11,2002,Acre,191.571,25.24
23,2002-12,271.847,25.14,98.0,636229.145576477,Acre,98.0,636229.145576477,12,2002,Acre,271.847,25.14
24,2003-01,273.5,25.38,240.0,643180.355430603,Acre,240.0,643180.355430603,1,2003,Acre,273.5,25.38
25,2003-02,250.476,25.02,288.0,643180.355430603,Acre,288.0,643180.355430603,2,2003,Acre,250.476,25.02
26,2003-03,231.799,24.88,171.0,643180.355430603,Acre,171.0,643180.355430603,3,2003,Acre,231.799,24.88
27,2003-04,197.785,24.58,98.0,643180.355430603,Acre,98.0,643180.355430603,4,2003,Acre,197.785,24.58
28,2003-05,123.78,24.28,47.0,643180.355430603,Acre,47.0,643180.355430603,5,2003,Acre,123.78,24.28
29,2003-06,73.252,24.0,39.0,643180.355430603,Acre,39.0,643180.355430603,6,2003,Acre,73.252,24.0
30,2003-07,22.247,24.4,17.0,643180.355430603,Acre,17.0,643180.355430603,7,2003,Acre,22.247,24.4
31,2003-08,72.341,24.54,7.0,643180.355430603,Acre,7.0,643180.355430603,8,2003,Acre,72.341,24.54
32,2003-09,144.756,24.91,8.0,643180.355430603,Acre,8.0,643180.355430603,9,2003,Acre,144.756,24.91
33,2003-10,148.788,25.72,27.0,643180.355430603,Acre,27.0,643180.355430603,10,2003,Acre,148.788,25.72
34,2003-11,192.608,25.21,53.0,643180.355430603,Acre,53.0,643180.355430603,11,2003,Acre,192.608,25.21
35,2003-12,247.661,25.34,57.0,643180.355430603,Acre,57.0,643180.355430603,12,2003,Acre,247.661,25.34
36,2004-01,222.19,25.41,89.0,650120.713470459,Acre,89.0,650120.713470459,1,2004,Acre,222.19,25.41
37,2004-02,177.339,25.15,143.0,650120.713470459,Acre,143.0,650120.713470459,2,2004,Acre,177.339,25.15
38,2004-03,267.115,25.05,61.0,650120.713470459,Acre,61.0,650120.713470459,3,2004,Acre,267.115,25.05
39,2004-04,128.891,24.98,36.0,650120.713470459,Acre,36.0,650120.713470459,4,2004,Acre,128.891,24.98
40,2004-05,72.403,23.12,67.0,650120.713470459,Acre,67.0,650120.713470459,5,2004,Acre,72.403,23.12
41,2004-06,74.142,23.26,53.0,650120.713470459,Acre,53.0,650120.713470459,6,2004,Acre,74.142,23.26
42,2004-07,78.683,23.35,46.0,650120.713470459,Acre,46.0,650120.713470459,7,2004,Acre,78.683,23.35
43,2004-08,97.868,24.27,42.0,650120.713470459,Acre,42.0,650120.713470459,8,2004,Acre,97.868,24.27
44,2004-09,107.052,25.25,95.0,650120.713470459,Acre,95.0,650120.713470459,9,2004,Acre,107.052,25.25
45,2004-10,222.012,25.28,400.0,650120.713470459,Acre,400.0,650120.713470459,10,2004,Acre,222.012,25.28
46,2004-11,217.384,24.99,2007.0,650120.713470459,Acre,2007.0,650120.713470459,11,2004,Acre,217.384,24.99
47,2004-12,267.937,25.01,1505.0,650120.713470459,Acre,1505.0,650120.713470459,12,2004,Acre,267.937,25.01
48,2005-01,210.048,25.69,1469.0,657050.253517151,Acre,1469.0,657050.253517151,1,2005,Acre,210.048,25.69
49,2005-02,260.84,25.1,486.0,657050.253517151,Acre,486.0,657050.253517151,2,2005,Acre,260.84,25.1
50,2005-03,243.529,25.23,183.0,657050.253517151,Acre,183.0,657050.253517151,3,2005,Acre,243.529,25.23
51,2005-04,191.318,24.64,49.0,657050.253517151,Acre,49.0,657050.253517151,4,2005,Acre,191.318,24.64
52,2005-05,107.63,24.68,16.0,657050.253517151,Acre,16.0,657050.253517151,5,2005,Acre,107.63,24.68
53,2005-06,50.406,24.56,15.0,657050.253517151,Acre,15.0,657050.253517151,6,2005,Acre,50.406,24.56
54,2005-07,20.202,24.4,10.0,657050.253517151,Acre,10.0,657050.253517151,7,2005,Acre,20.202,24.4
55,2005-08,51.964,26.2,5.0,657050.253517151,Acre,5.0,657050.253517151,8,2005,Acre,51.964,26.2
56,2005-09,71.689,26.17,0.0,657050.253517151,Acre,0.0,657050.253517151,9,2005,Acre,71.689,26.17
57,2005-10,230.567,25.51,6.0,657050.253517151,Acre,6.0,657050.253517151,10,2005,Acre,230.567,25.51
58,2005-11,201.977,25.42,26.0,657050.253517151,Acre,26.0,657050.253517151,11,2005,Acre,201.977,25.42
59,2005-12,229.801,25.18,262.0,657050.253517151,Acre,262.0,657050.253517151,12,2005,Acre,229.801,25.18
60,2006-01,240.574,25.03,81.0,664251.694023767,Acre,81.0,664251.694023767,1,2006,Acre,240.574,25.03
61,2006-02,246.254,25.08,38.0,664251.694023767,Acre,38.0,664251.694023767,2,2006,Acre,246.254,25.08
62,2006-03,233.736,25.12,28.0,664251.694023767,Acre,28.0,664251.694023767,3,2006,Acre,233.736,25.12
63,2006-04,176.17,24.46,31.0,664251.694023767,Acre,31.0,664251.694023767,4,2006,Acre,176.17,24.46
64,2006-05,49.08,23.55,10.0,664251.694023767,Acre,10.0,664251.694023767,5,2006,Acre,49.08,23.55
65,2006-06,68.151,24.37,11.0,664251.694023767,Acre,11.0,664251.694023767,6,2006,Acre,68.151,24.37
66,2006-07,35.718,25.42,5.0,664251.694023767,Acre,5.0,664251.694023767,7,2006,Acre,35.718,25.42
67,2006-08,49.542,26.22,2.0,664251.694023767,Acre,2.0,664251.694023767,8,2006,Acre,49.542,26.22
68,2006-09,118.979,26.02,5.0,664251.694023767,Acre,5.0,664251.694023767,9,2006,Acre,118.979,26.02
69,2006-10,223.299,25.76,14.0,664251.694023767,Acre,14.0,664251.694023767,10,2006,Acre,223.299,25.76
70,2006-11,215.812,25.29,224.0,664251.694023767,Acre,224.0,664251.694023767,11,2006,Acre,215.812,25.29
71,2006-12,234.219,25.23,196.0,664251.694023767,Acre,196.0,664251.694023767,12,2006,Acre,234.219,25.23
72,2007-01,226.277,25.59,127.0,671181.315452438,Acre,127.0,671181.315452438,1,2007,Acre,226.277,25.59
73,2007-02,177.236,25.93,138.0,671181.315452438,Acre,138.0,671181.315452438,2,2007,Acre,177.236,25.93
74,2007-03,281.256,24.95,116.0,671181.315452438,Acre,116.0,671181.315452438,3,2007,Acre,281.256,24.95
75,2007-04,186.837,24.7,101.0,671181.315452438,Acre,101.0,671181.315452438,4,2007,Acre,186.837,24.7
76,2007-05,117.578,23.32,46.0,671181.315452438,Acre,46.0,671181.315452438,5,2007,Acre,117.578,23.32
77,2007-06,20.816,24.57,8.0,671181.315452438,Acre,8.0,671181.315452438,6,2007,Acre,20.816,24.57
78,2007-07,71.698,24.06,2.0,671181.315452438,Acre,2.0,671181.315452438,7,2007,Acre,71.698,24.06
79,2007-08,38.381,25.83,3.0,671181.315452438,Acre,3.0,671181.315452438,8,2007,Acre,38.381,25.83
80,2007-09,123.212,26.04,3.0,671181.315452438,Acre,3.0,671181.315452438,9,2007,Acre,123.212,26.04
81,2007-10,198.869,25.6,10.0,671181.315452438,Acre,10.0,671181.315452438,10,2007,Acre,198.869,25.6
82,2007-11,237.345,25.02,62.0,671181.315452438,Acre,62.0,671181.315452438,11,2007,Acre,237.345,25.02
83,2007-12,295.632,24.84,71.0,671181.315452438,Acre,71.0,671181.315452438,12,2007,Acre,295.632,24.84
84,2008-01,268.907,24.78,80.0,677888.539453698,Acre,80.0,677888.539453698,1,2008,Acre,268.907,24.78
85,2008-02,266.329,24.71,141.0,677888.539453698,Acre,141.0,677888.539453698,2,2008,Acre,266.329,24.71
86,2008-03,313.923,24.18,176.0,677888.539453698,Acre,176.0,677888.539453698,3,2008,Acre,313.923,24.18
87,2008-04,210.042,24.4,189.0,677888.539453698,Acre,189.0,677888.539453698,4,2008,Acre,210.042,24.4
88,2008-05,87.844,23.59,101.0,677888.539453698,Acre,101.0,677888.539453698,5,2008,Acre,87.844,23.59
89,2008-06,42.102,23.27,31.0,677888.539453698,Acre,31.0,677888.539453698,6,2008,Acre,42.102,23.27
90,2008-07,33.674,25.1,20.0,677888.539453698,Acre,20.0,677888.539453698,7,2008,Acre,33.674,25.1
91,2008-08,44.556,26.43,46.0,677888.539453698,Acre,46.0,677888.539453698,8,2008,Acre,44.556,26.43
92,2008-09,116.758,26.12,86.0,677888.539453698,Acre,86.0,677888.539453698,9,2008,Acre,116.758,26.12
93,2008-10,179.166,25.87,99.0,677888.539453698,Acre,99.0,677888.539453698,10,2008,Acre,179.166,25.87
94,2008-11,246.543,25.36,336.0,677888.539453698,Acre,336.0,677888.539453698,11,2008,Acre,246.543,25.36
95,2008-12,296.618,24.94,643.0,677888.539453698,Acre,643.0,677888.539453698,12,2008,Acre,296.618,24.94
96,2009-01,305.611,24.77,2919.0,684443.968385456,Acre,2919.0,684443.968385456,1,2009,Acre,305.611,24.77
97,2009-02,279.212,24.87,6004.0,684443.968385456,Acre,6004.0,684443.968385456,2,2009,Acre,279.212,24.87
98,2009-03,353.241,24.64,5001.0,684443.968385456,Acre,5001.0,684443.968385456,3,2009,Acre,353.241,24.64
99,2009-04,284.756,24.3,1376.0,684443.968385456,Acre,1376.0,684443.968385456,4,2009,Acre,284.756,24.3
100,2009-05,165.102,24.32,711.0,684443.968385456,Acre,711.0,684443.968385456,5,2009,Acre,165.102,24.32
101,2009-06,69.543,23.32,253.0,684443.968385456,Acre,253.0,684443.968385456,6,2009,Acre,69.543,23.32
102,2009-07,66.02,23.87,119.0,684443.968385456,Acre,119.0,684443.968385456,7,2009,Acre,66.02,23.87
103,2009-08,65.326,25.57,91.0,684443.968385456,Acre,91.0,684443.968385456,8,2009,Acre,65.326,25.57
104,2009-09,93.039,26.23,77.0,684443.968385456,Acre,77.0,684443.968385456,9,2009,Acre,93.039,26.23
105,2009-10,148.198,26.39,161.0,684443.968385456,Acre,161.0,684443.968385456,10,2009,Acre,148.198,26.39
106,2009-11,205.5,26.16,479.0,684443.968385456,Acre,479.0,684443.968385456,11,2009,Acre,205.5,26.16
107,2009-12,314.24,25.2,1281.0,684443.968385456,Acre,1281.0,684443.968385456,12,2009,Acre,314.24,25.2
108,2010-01,217.414,25.68,3962.0,690893.493780353,Acre,3962.0,690893.493780353,1,2010,Acre,217.414,25.68
109,2010-02,274.036,25.97,7715.0,690893.493780353,Acre,7715.0,690893.493780353,2,2010,Acre,274.036,25.97
110,2010-03,247.647,25.92,6103.0,690893.493780353,Acre,6103.0,690893.493780353,3,2010,Acre,247.647,25.92
111,2010-04,121.531,25.77,3039.0,690893.493780353,Acre,3039.0,690893.493780353,4,2010,Acre,121.531,25.77
112,2010-05,106.99,24.4,1424.0,690893.493780353,Acre,1424.0,690893.493780353,5,2010,Acre,106.99,24.4
113,2010-06,30.499,24.82,849.0,690893.493780353,Acre,849.0,690893.493780353,6,2010,Acre,30.499,24.82
114,2010-07,33.44,24.4,793.0,690893.493780353,Acre,793.0,690893.493780353,7,2010,Acre,33.44,24.4
115,2010-08,24.28,26.63,426.0,690893.493780353,Acre,426.0,690893.493780353,8,2010,Acre,24.28,26.63
116,2010-09,76.572,27.01,610.0,690893.493780353,Acre,610.0,690893.493780353,9,2010,Acre,76.572,27.01
117,2010-10,217.882,26.0,1033.0,690893.493780353,Acre,1033.0,690893.493780353,10,2010,Acre,217.882,26.0
118,2010-11,241.231,25.1,3022.0,690893.493780353,Acre,3022.0,690893.493780353,11,2010,Acre,241.231,25.1
119,2010-12,190.48,25.35,5515.0,690893.493780353,Acre,5515.0,690893.493780353,12,2010,Acre,190.48,25.35
120,2011-01,236.757,25.0,8492.0,697251.236109968,Acre,8492.0,697251.236109968,1,2011,Acre,236.757,25.0
121,2011-02,258.259,24.63,4707.0,697251.236109968,Acre,4707.0,697251.236109968,2,2011,Acre,258.259,24.63
122,2011-03,321.717,24.49,2927.0,697251.236109968,Acre,2927.0,697251.236109968,3,2011,Acre,321.717,24.49
123,2011-04,204.158,24.58,1249.0,697251.236109968,Acre,1249.0,697251.236109968,4,2011,Acre,204.158,24.58
124,2011-05,85.352,24.14,334.0,697251.236109968,Acre,334.0,697251.236109968,5,2011,Acre,85.352,24.14
125,2011-06,60.731,24.44,121.0,697251.236109968,Acre,121.0,697251.236109968,6,2011,Acre,60.731,24.44
126,2011-07,35.683,24.75,55.0,697251.236109968,Acre,55.0,697251.236109968,7,2011,Acre,35.683,24.75
127,2011-08,47.933,25.63,54.0,697251.236109968,Acre,54.0,697251.236109968,8,2011,Acre,47.933,25.63
128,2011-09,145.121,26.03,38.0,697251.236109968,Acre,38.0,697251.236109968,9,2011,Acre,145.121,26.03
129,2011-10,214.633,25.25,59.0,697251.236109968,Acre,59.0,697251.236109968,10,2011,Acre,214.633,25.25
130,2011-11,201.393,25.49,49.0,697251.236109968,Acre,49.0,697251.236109968,11,2011,Acre,201.393,25.49
131,2011-12,283.835,24.97,716.0,697251.236109968,Acre,716.0,697251.236109968,12,2011,Acre,283.835,24.97
132,2012-01,306.511,24.71,393.0,703506.605020617,Acre,393.0,703506.605020617,1,2012,Acre,306.511,24.71
133,2012-02,290.941,24.42,379.0,703506.605020617,Acre,379.0,703506.605020617,2,2012,Acre,290.941,24.42
134,2012-03,301.756,24.55,201.0,703506.605020617,Acre,201.0,703506.605020617,3,2012,Acre,301.756,24.55
135,2012-04,258.084,24.68,165.0,703506.605020617,Acre,165.0,703506.605020617,4,2012,Acre,258.084,24.68
136,2012-05,121.748,24.17,168.0,703506.605020617,Acre,168.0,703506.605020617,5,2012,Acre,121.748,24.17
137,2012-06,74.151,23.62,90.0,703506.605020617,Acre,90.0,703506.605020617,6,2012,Acre,74.151,23.62
138,2012-07,25.579,24.12,67.0,703506.605020617,Acre,67.0,703506.605020617,7,2012,Acre,25.579,24.12
139,2012-08,37.871,25.95,51.0,703506.605020617,Acre,51.0,703506.605020617,8,2012,Acre,37.871,25.95
140,2012-09,115.208,26.36,39.0,703506.605020617,Acre,39.0,703506.605020617,9,2012,Acre,115.208,26.36
141,2012-10,186.395,25.55,111.0,703506.605020617,Acre,111.0,703506.605020617,10,2012,Acre,186.395,25.55
142,2012-11,272.71,25.62,280.0,703506.605020617,Acre,280.0,703506.605020617,11,2012,Acre,272.71,25.62
143,2012-12,297.785,24.84,501.0,703506.605020617,Acre,501.0,703506.605020617,12,2012,Acre,297.785,24.84
144,2013-01,324.667,25.07,714.0,709680.781219672,Acre,714.0,709680.781219672,1,2013,Acre,324.667,25.07
145,2013-02,318.066,24.91,584.0,709680.781219672,Acre,584.0,709680.781219672,2,2013,Acre,318.066,24.91
146,2013-03,336.252,24.99,437.0,709680.781219672,Acre,437.0,709680.781219672,3,2013,Acre,336.252,24.99
147,2013-04,117.427,25.19,204.0,709680.781219672,Acre,204.0,709680.781219672,4,2013,Acre,117.427,25.19
148,2013-05,113.301,24.63,95.0,709680.781219672,Acre,95.0,709680.781219672,5,2013,Acre,113.301,24.63
149,2013-06,102.461,24.33,82.0,709680.781219672,Acre,82.0,709680.781219672,6,2013,Acre,102.461,24.33
150,2013-07,43.859,23.74,71.0,709680.781219672,Acre,71.0,709680.781219672,7,2013,Acre,43.859,23.74
151,2013-08,66.639,24.26,21.0,709680.781219672,Acre,21.0,709680.781219672,8,2013,Acre,66.639,24.26
152,2013-09,108.458,25.63,23.0,709680.781219672,Acre,23.0,709680.781219672,9,2013,Acre,108.458,25.63
153,2013-10,209.41,25.3,21.0,709680.781219672,Acre,21.0,709680.781219672,10,2013,Acre,209.41,25.3
154,2013-11,240.909,25.05,74.0,709680.781219672,Acre,74.0,709680.781219672,11,2013,Acre,240.909,25.05
155,2013-12,237.702,25.41,105.0,709680.781219672,Acre,105.0,709680.781219672,12,2013,Acre,237.702,25.41
156,2014-01,321.821,24.56,330.0,715780.824942924,Acre,330.0,715780.824942924,1,2014,Acre,321.821,24.56
157,2014-02,281.842,24.64,126.0,715780.824942924,Acre,126.0,715780.824942924,2,2014,Acre,281.842,24.64
158,2014-03,293.87,24.65,203.0,715780.824942924,Acre,203.0,715780.824942924,3,2014,Acre,293.87,24.65
159,2014-04,223.282,24.69,293.0,715780.824942924,Acre,293.0,715780.824942924,4,2014,Acre,223.282,24.69
160,2014-05,132.623,24.0,439.0,715780.824942924,Acre,439.0,715780.824942924,5,2014,Acre,132.623,24.0
161,2014-06,72.219,23.89,428.0,715780.824942924,Acre,428.0,715780.824942924,6,2014,Acre,72.219,23.89
162,2014-07,53.068,23.62,609.0,715780.824942924,Acre,609.0,715780.824942924,7,2014,Acre,53.068,23.62
163,2014-08,85.662,24.84,1679.0,715780.824942924,Acre,1679.0,715780.824942924,8,2014,Acre,85.662,24.84
164,2014-09,124.432,25.99,7091.0,715780.824942924,Acre,7091.0,715780.824942924,9,2014,Acre,124.432,25.99
165,2014-10,206.418,25.53,8059.0,715780.824942924,Acre,8059.0,715780.824942924,10,2014,Acre,206.418,25.53
166,2014-11,283.96,24.99,5626.0,715780.824942924,Acre,5626.0,715780.824942924,11,2014,Acre,283.96,24.99
167,2014-12,277.762,25.0,3767.0,715780.824942924,Acre,3767.0,715780.824942924,12,2014,Acre,277.762,25.0
168,2015-01,336.277,24.28,2334.0,721810.266308267,Acre,2334.0,721810.266308267,1,2015,Acre,336.277,24.28
169,2015-02,287.955,24.97,1452.0,721810.266308267,Acre,1452.0,721810.266308267,2,2015,Acre,287.955,24.97
170,2015-03,333.485,24.76,929.0,721810.266308267,Acre,929.0,721810.266308267,3,2015,Acre,333.485,24.76
171,2015-04,267.523,24.58,342.0,721810.266308267,Acre,342.0,721810.266308267,4,2015,Acre,267.523,24.58
172,2015-05,187.802,24.09,245.0,721810.266308267,Acre,245.0,721810.266308267,5,2015,Acre,187.802,24.09
173,2015-06,69.643,24.19,224.0,721810.266308267,Acre,224.0,721810.266308267,6,2015,Acre,69.643,24.19
174,2015-07,52.826,24.4,114.0,721810.266308267,Acre,114.0,721810.266308267,7,2015,Acre,52.826,24.4
175,2015-08,64.388,26.55,55.0,721810.266308267,Acre,55.0,721810.266308267,8,2015,Acre,64.388,26.55
176,2015-09,82.956,26.91,71.0,721810.266308267,Acre,71.0,721810.266308267,9,2015,Acre,82.956,26.91
177,2015-10,130.737,26.94,80.0,721810.266308267,Acre,80.0,721810.266308267,10,2015,Acre,130.737,26.94
178,2015-11,212.699,26.1,88.0,721810.266308267,Acre,88.0,721810.266308267,11,2015,Acre,212.699,26.1
179,2015-12,204.918,25.92,162.0,721810.266308267,Acre,162.0,721810.266308267,12,2015,Acre,204.918,25.92
180,2016-01,212.224,26.35,270.0,727779.695669389,Acre,270.0,727779.695669389,1,2016,Acre,212.224,26.35
181,2016-02,269.139,25.73,445.0,727779.695669389,Acre,445.0,727779.695669389,2,2016,Acre,269.139,25.73
182,2016-03,273.161,25.55,354.0,727779.695669389,Acre,354.0,727779.695669389,3,2016,Acre,273.161,25.55
183,2016-04,163.655,25.29,244.0,727779.695669389,Acre,244.0,727779.695669389,4,2016,Acre,163.655,25.29
184,2016-05,103.626,24.58,115.0,727779.695669389,Acre,115.0,727779.695669389,5,2016,Acre,103.626,24.58
185,2016-06,41.121,23.98,70.0,727779.695669389,Acre,70.0,727779.695669389,6,2016,Acre,41.121,23.98
186,2016-07,20.072,25.62,68.0,727779.695669389,Acre,68.0,727779.695669389,7,2016,Acre,20.072,25.62
187,2016-08,76.28,26.35,46.0,727779.695669389,Acre,46.0,727779.695669389,8,2016,Acre,76.28,26.35
188,2016-09,143.498,25.6,43.0,727779.695669389,Acre,43.0,727779.695669389,9,2016,Acre,143.498,25.6
189,2016-10,186.362,25.68,42.0,727779.695669389,Acre,42.0,727779.695669389,10,2016,Acre,186.362,25.68
190,2016-11,205.542,25.47,65.0,727779.695669389,Acre,65.0,727779.695669389,11,2016,Acre,205.542,25.47
191,2016-12,247.881,25.39,103.0,727779.695669389,Acre,103.0,727779.695669389,12,2016,Acre,247.881,25.39
192,2017-01,386.534,24.44,253.0,733678.522672603,Acre,253.0,733678.522672603,1,2017,Acre,386.534,24.44
193,2017-02,271.348,24.89,251.0,733678.522672603,Acre,251.0,733678.522672603,2,2017,Acre,271.348,24.89
194,2017-03,301.901,24.82,212.0,733678.522672603,Acre,212.0,733678.522672603,3,2017,Acre,301.901,24.82
195,2017-04,202.661,24.88,162.0,733678.522672603,Acre,162.0,733678.522672603,4,2017,Acre,202.661,24.88
196,2017-05,149.251,24.93,90.0,733678.522672603,Acre,90.0,733678.522672603,5,2017,Acre,149.251,24.93
197,2017-06,57.723,23.92,65.0,733678.522672603,Acre,65.0,733678.522672603,6,2017,Acre,57.723,23.92
198,2017-07,15.245,24.52,50.0,733678.522672603,Acre,50.0,733678.522672603,7,2017,Acre,15.245,24.52
199,2017-08,74.9,26.33,60.0,733678.522672603,Acre,60.0,733678.522672603,8,2017,Acre,74.9,26.33
200,2017-09,118.748,26.23,37.0,733678.522672603,Acre,37.0,733678.522672603,9,2017,Acre,118.748,26.23
201,2017-10,157.263,26.07,113.0,733678.522672603,Acre,113.0,733678.522672603,10,2017,Acre,157.263,26.07
202,2017-11,240.784,25.38,213.0,733678.522672603,Acre,213.0,733678.522672603,11,2017,Acre,240.784,25.38
203,2017-12,257.475,25.51,336.0,733678.522672603,Acre,336.0,733678.522672603,12,2017,Acre,257.475,25.51
0,2001-01,33.255,25.56,,1678325.5078125,Alagoas,,1678325.5078125,1,2001,Alagoas,33.255,25.56
1,2001-02,27.669,26.58,,1678325.5078125,Alagoas,,1678325.5078125,2,2001,Alagoas,27.669,26.58
2,2001-03,61.591,25.91,1958.0,1678325.5078125,Alagoas,1958.0,1678325.5078125,3,2001,Alagoas,61.591,25.91
3,2001-04,43.929,25.25,3153.0,1678325.5078125,Alagoas,3153.0,1678325.5078125,4,2001,Alagoas,43.929,25.25
4,2001-05,36.079,25.33,2886.0,1678325.5078125,Alagoas,2886.0,1678325.5078125,5,2001,Alagoas,36.079,25.33
5,2001-06,124.344,22.95,628.0,1678325.5078125,Alagoas,628.0,1678325.5078125,6,2001,Alagoas,124.344,22.95
6,2001-07,103.309,22.41,139.0,1678325.5078125,Alagoas,139.0,1678325.5078125,7,2001,Alagoas,103.309,22.41
7,2001-08,75.879,21.97,114.0,1678325.5078125,Alagoas,114.0,1678325.5078125,8,2001,Alagoas,75.879,21.97
8,2001-09,43.946,23.59,118.0,1678325.5078125,Alagoas,118.0,1678325.5078125,9,2001,Alagoas,43.946,23.59
9,2001-10,52.355,24.79,178.0,1678325.5078125,Alagoas,178.0,1678325.5078125,10,2001,Alagoas,52.355,24.79
10,2001-11,20.305,25.91,439.0,1678325.5078125,Alagoas,439.0,1678325.5078125,11,2001,Alagoas,20.305,25.91
11,2001-12,56.527,25.97,882.0,1678325.5078125,Alagoas,882.0,1678325.5078125,12,2001,Alagoas,56.527,25.97
12,2002-01,125.603,24.95,4457.0,1693094.203125,Alagoas,4457.0,1693094.203125,1,2002,Alagoas,125.603,24.95
13,2002-02,72.908,25.52,4855.0,1693094.203125,Alagoas,4855.0,1693094.203125,2,2002,Alagoas,72.908,25.52
14,2002-03,69.623,25.59,4111.0,1693094.203125,Alagoas,4111.0,1693094.203125,3,2002,Alagoas,69.623,25.59
15,2002-04,61.058,25.26,1943.0,1693094.203125,Alagoas,1943.0,1693094.203125,4,2002,Alagoas,61.058,25.26
16,2002-05,101.123,24.26,656.0,1693094.203125,Alagoas,656.0,1693094.203125,5,2002,Alagoas,101.123,24.26
17,2002-06,161.556,22.81,229.0,1693094.203125,Alagoas,229.0,1693094.203125,6,2002,Alagoas,161.556,22.81
18,2002-07,75.618,22.68,160.0,1693094.203125,Alagoas,160.0,1693094.203125,7,2002,Alagoas,75.618,22.68
19,2002-08,71.353,22.23,148.0,1693094.203125,Alagoas,148.0,1693094.203125,8,2002,Alagoas,71.353,22.23
20,2002-09,31.554,23.82,163.0,1693094.203125,Alagoas,163.0,1693094.203125,9,2002,Alagoas,31.554,23.82
21,2002-10,33.814,24.62,148.0,1693094.203125,Alagoas,148.0,1693094.203125,10,2002,Alagoas,33.814,24.62
22,2002-11,26.948,25.82,202.0,1693094.203125,Alagoas,202.0,1693094.203125,11,2002,Alagoas,26.948,25.82
23,2002-12,34.679,26.76,383.0,1693094.203125,Alagoas,383.0,1693094.203125,12,2002,Alagoas,34.679,26.76
24,2003-01,55.754,27.3,677.0,1707744.796875,Alagoas,677.0,1707744.796875,1,2003,Alagoas,55.754,27.3
25,2003-02,50.087,26.07,919.0,1707744.796875,Alagoas,919.0,1707744.796875,2,2003,Alagoas,50.087,26.07
26,2003-03,78.787,26.12,909.0,1707744.796875,Alagoas,909.0,1707744.796875,3,2003,Alagoas,78.787,26.12
27,2003-04,38.554,26.27,832.0,1707744.796875,Alagoas,832.0,1707744.796875,4,2003,Alagoas,38.554,26.27
28,2003-05,63.304,25.05,937.0,1707744.796875,Alagoas,937.0,1707744.796875,5,2003,Alagoas,63.304,25.05
29,2003-06,84.123,23.48,657.0,1707744.796875,Alagoas,657.0,1707744.796875,6,2003,Alagoas,84.123,23.48
30,2003-07,65.095,22.63,451.0,1707744.796875,Alagoas,451.0,1707744.796875,7,2003,Alagoas,65.095,22.63
31,2003-08,47.507,23.23,253.0,1707744.796875,Alagoas,253.0,1707744.796875,8,2003,Alagoas,47.507,23.23
